Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Open Access,Source,EID
"Meyer, C; Gerlitz, L; Prause, G","Meyer, Christopher; Gerlitz, Laima; Prause, Gunnar",,Small and Medium-Sized Port Greening Initiatives as Trigger for a Servitisation Port Ecosystem,2023,ENVIRONMENTAL AND CLIMATE TECHNOLOGIES,57,10.2478/rtuect-2023-0035,View Full Record in Web of Science,"Despite the highest competition among the big EU seaports - gateways and hubs, such as Rotterdam, Antwerp, Hamburg or Valencia, etc. which stand for the Core Ports in the European Union (EU) Trans-European Transport Network (TEN-T) Core and Comprehensive Network, the present paper addresses challenges and raises potentials immanent in Small and Medium-Sized Ports (SMSPs) in the EU. Environmental responsibility and digital efficiency - Europe's twin to a green and digital economy paves the way for SMSPs to improve innovation capacity, upgrade demanded future skills and competencies, accelerate EU policies compliant operational, environmental, digital, social and market performance. The paper deploys a multi-case study approach. Using an ecosystem approach, the paper reveals potentials and pinpoints to key short- and long-term challenges pursuant to SMSPs in the three different EU macro-regions - Baltic Sea Region, Adriatic-Ionian Sea Region and Mediterranean Sea Region along the three TEN-T Core Network Corridors Orient-East Med, North Sea-Baltic and Scandinavian-Mediterranean. Departing from the role model - Baltic Sea Region - ports of Kaunas, Klaipeda & Wismar are connected via TEN-T corridors with ports of Bari and Corfu. In this vein, knowledge, skills and best practices are transferred from the North Europe to the South and vice versa using the concepts of co-creation and servitisation. Illustrated case studies reveal how all SMSPs are capable to kick-start environmental and digital transition through co-creation and servitisation mindset in a SMSP ecosystem conceptualisation.",Blue economy; green transition; maritime transition; port sector,CO-CREATION; SERVITIZATION; INNOVATION; FRAMEWORK,,Article,,,,
Mikulić A.; Parunov J.,"Mikulić, A. (55259736700); Parunov, J. (6701830225)",55259736700; 6701830225,A review of artificial intelligence applications in ship structures,2019,"Trends in the Analysis and Design of Marine Structures - Proceedings of the 7th International Conference on Marine Structures, MARSTRUCT 2019",5,10.1201/9780429298875-59,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068532488&doi=10.1201%2f9780429298875-59&partnerID=40&md5=3d31f39b026420dc6f1da66aab6a724f,"The rapid development of computer science and information technology has created plenty of new approaches and possibilities to collect, sort and analyze a huge amount of data intelligently. Thus, it has paved the way for the new concepts and approaches such as the internet of things, digital twin, artificial intelligence, machine learning to enter shipbuilding and industry in general. The purpose of this paper is to present and analyze the available state of the art solutions and implementations of artificial intelligence and machine learning methods in different areas of maritime industry, that are immediately or mediately affecting the design, safety or life expectancy of the ship structure. A short overview of relevant methods is presented. These approaches are then classified and discussed within the framework of their application area in the field of maritime industry. Also, the most significant applications of these approaches are outlined along with recommendations regarding possible implementations. © 2019 Taylor & Francis Group, London.",,Accident prevention; Machine learning; Marine industry; Ocean structures; Ships; Application area; Life expectancies; Machine learning methods; Maritime industry; New approaches; Ship structure; State of the art; Shipbuilding,,Conference paper,Final,,Scopus,2-s2.0-85068532488
Min H.,"Min, Hokey (7102292247)",7102292247,Developing a smart port architecture and essential elements in the era of Industry 4.0,2022,Maritime Economics and Logistics,32,10.1057/s41278-022-00211-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132074642&doi=10.1057%2fs41278-022-00211-3&partnerID=40&md5=9d0f5539ab51afa9c2effa7eb02687d7,"With rapid technological innovations spurred by the Fourth Industrial Revolution (Industry 4.0), today’s seaports are pressured to transform the way they operate in order to handle traffic flows. Such a transformation calls for the development of a smart port system. Despite the growing interest in smart ports, their underlying framework, architecture, and potential ramifications for port productivity are not well documented in the maritime logistics literature. To help port communities better comprehend smart port concepts and successfully develop a smart port within a global supply chain, this paper synthesizes core smart port concepts, designs underlying architecture, and proposes specific milestones for monitoring the smart port development project. We use content analysis and then we identify key success factors (e.g., essential components for the smart port architecture, value propositions, smart port performance metrics) for the establishment and sustainable growth of the smart port. The paper also aims to provide practical guidance for dealing with smart port challenges and opportunities. Our research reveals that a smart port reduces port-user response time, improves port asset utilization, and enhances maritime logistics visibility by automating and integrating end-to-end port operations digitally without human intervention. © 2022, The Author(s), under exclusive licence to Springer Nature Limited.",Artificial intelligence; Change management; Global maritime logistics; Intelligent systems; Smart port; Technological innovation,,,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85132074642
Minchev D.; Varbanets R.; Shumylo O.; Zalozh V.; Aleksandrovska N.; Bratchenko P.; Truong T.H.,"Minchev, Dmytro (57222561514); Varbanets, Roman (57195598485); Shumylo, Oleksandr (57211999743); Zalozh, Vitalii (57222288180); Aleksandrovska, Nadiia (58031989200); Bratchenko, Pavlo (58775946000); Truong, Thanh Hai (57210823610)",57222561514; 57195598485; 57211999743; 57222288180; 58031989200; 58775946000; 57210823610,Digital Twin Test-Bench Performance for Marine Diesel Engine Applications,2023,Polish Maritime Research,4,10.2478/pomr-2023-0061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180404710&doi=10.2478%2fpomr-2023-0061&partnerID=40&md5=6415fd6a575d396a5e370ecf44ea985c,"The application of Digital Twins is a promising solution for enhancing the efficiency of marine power plant operation, particularly their important components - marine internal combustion engines (ICE). This work presents the concept of applying a Performance Digital Twin for monitoring the technical condition and diagnosing malfunctions of marine ICE, along with its implementation on an experimental test-bench, based on a marine diesel-generator. The main principles of implementing this concept involve data transmission technologies, from the sensors installed on the engine to a server. The Digital Twin, also operating on the server, is used to automatically process the acquired experimental data, accumulate statistics, determine the current technical state of the engine, identify possible malfunctions, and make decisions regarding changes in operating programs. The core element of the Digital Twin is a mathematical model of the marine diesel engine's operating cycle. In its development, significant attention was devoted to refining the fuel combustion model, as the combustion processes significantly impact both the engine's fuel efficiency and the level of toxic emissions of exhaust gases. The enhanced model differs from the base model, by considering the variable value of the average droplets' diameter during fuel injection. This influence on fuel vapourisation, combustion, and the formation of toxic components is substantial, as shown. Using the example of calibrating the model to the test results of a diesel engine under 27 operating modes, it is demonstrated that the application of the improved combustion model allows better adjustment of the Digital Twin to experimental data, thus achieving a more accurate correspondence to a real engine.  © 2023 Dmytro Minchev et al., published by Sciendo.",combustion model; diagnostics; digital twin; marine diesel engine,Diesel engines; Efficiency; Exhaust gases; Marine applications; Marine engines; Combustion model; Diagnostic; Diesel engine applications; Experimental test benches; Marine diesel; Marine Diesel Engines; Performance; Power plant operations; Technical conditions; Test-bench; Combustion,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85180404710
Miyanawala T.P.; Li Y.; Law Y.Z.; Santo H.,"Miyanawala, T.P. (57189055252); Li, Y. (55208808500); Law, Y.Z. (57211749818); Santo, H. (55387974100)",57189055252; 55208808500; 57211749818; 55387974100,Real-time prediction of hydrodynamic forces and dynamic responses of a generic jack-up platform using deep learning,2024,Ocean Engineering,0,10.1016/j.oceaneng.2024.118003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192825518&doi=10.1016%2fj.oceaneng.2024.118003&partnerID=40&md5=97be8258d8a73cdbc96ef95d249f9ece,"Irregular ocean waves contribute to random and non-linear hydrodynamic forces on marine and offshore platforms, in particular those made of slender bodies such as jack-ups. Keeping track of the structural fatigue, integrity, and reliability renders benefits to these platforms such as enabling predictive maintenance and risk-based decision support. While computational techniques are useful in providing insights to deepen our understanding of the physics involved, these are resource-intensive and not suited for predictive capabilities. Here we introduce an effective deep learning method based on Long Short Time Memory (LSTM) to predict unsteady hydrodynamic forces on jack-up legs, which are mainly governed by non-linear drag forces, as well as dynamic responses of the jack-up in terms of reaction forces and hull motion. The numerical OF-ABAQUS solver (one-way fluid-structure coupling) designed for jack-up by Li et al. (2022, 2023) is used to generate a database for the deep neural network, which takes in wave elevation time series as the input. A leaky non-linear rectification is used to trace the relationship between wave elevation (as the input) and hydrodynamic forces as well as structural responses (as the outputs). The LSTM model is trained using a stochastic gradient descent method, and the results are compared with the full-order numerical simulations. Once the hyper-parameters of the LSTM algorithm are identified, further tuning for each sea-state is not required. Instead, the same LSTM algorithm can be used for different sea-states. The predictions made with our LSTM model are real-time, 96,000 times faster than the full-order simulations, within a 6% error threshold, and use a negligible amount of central processing unit (CPU) power. This powerful tool can be used to obtain real-time predictions using computers on offshore platforms without high-performance computers inland. Further, the proposed LSTM-based method can be applied to create digital twins for jack-up platforms. © 2024 Elsevier Ltd",Computational fluid dynamics; Finite element analysis; Jack-up; Long short time memory (LSTM); Machine learning,Computational fluid dynamics; Deep neural networks; Drag; Drilling platforms; Dynamic response; Forecasting; Gradient methods; Hydrodynamics; Learning systems; Long short-term memory; Numerical methods; Ocean currents; Offshore oil well production; Program processors; Stochastic models; Stochastic systems; Finite element analyse; Hydrodynamic forces; Jack-up; Jack-up platform; Long short time memory; Machine-learning; Memory modeling; Off shore platforms; Real-time prediction; Wave elevations; algorithm; computational fluid dynamics; dynamic response; fatigue; finite element method; hydrodynamic force; hydrodynamics; jack up platform; machine learning; real time; Finite element method,"Agency for Science, Technology and Research, A*STAR, (A19F1a0104); Agency for Science, Technology and Research, A*STAR",Article,Final,,Scopus,2-s2.0-85192825518
"Miyanawala, T; Li, YL; Zhi, LY; Santo, H","Miyanawala, Tharindu; Li Yulong; Zhi, Law Yun; Santo, Harrif",,DEEP LEARNING BASED PREDICTION OF HYDRODYNAMIC FORCES ON OFFSHORE PLATFORMS,,"PROCEEDINGS OF ASME 2023 42ND INTERNATIONAL CONFERENCE ON OCEAN, OFFSHORE & ARCTIC ENGINEERING, OMAE2023, VOL 7",12,103,View Full Record in Web of Science,"Irregular ocean waves cause fluctuating non-linear hydrodynamic forces on the body, which is an importance factor to account for in offshore and marine applications. While physical experimental and computational techniques provide valuable physics insight, they are generally time-consuming and expensive for design space exploration. We present an efficient Long Short Time Memory (LSTM) based deep-learning technique to predict unsteady hydrodynamic forces on slender bodies, where drag forces are more dominant than inertia forces. A leaky non-linear rectification is employed to approximate the mapping between surface elevation time series and hydrodynamic (drag) force time series. The deep neural network is fed with irregular waves based on JONSWAP spectrum as the input and the target data generated by the full-order Navier-Stokes computations using a generic offshore jack-up platform. The LSTM is trained using a stochastic gradient descent method to predict time series of the hydrodynamic forces on the jack-up and the results are compared with the full-order computations. Within the error threshold, the predictions based on our deep convolutional network have a speed-up of nearly 2 orders of magnitude compared to the full-order results and consume an insignificant fraction of computational resources. Overall, the proposed LSTM-based approximation procedure has the potential to be used for parametric design and digital twinning of jack-up platforms.",Irregular waves; Long Short Time Memory; Full order model; Offshore jack-up,BLOCKAGE; SIMULATIONS; WAVES,A*STAR under its RIE 2020 Industry Alignment Fund [A19F1a0104],Conference paper,,,,
Molavi A.; Lim G.J.; Race B.,"Molavi, Anahita (57208783786); Lim, Gino J. (55801936400); Race, Bruce (57203305535)",57208783786; 55801936400; 57203305535,A framework for building a smart port and smart port index,2020,International Journal of Sustainable Transportation,128,10.1080/15568318.2019.1610919,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065782662&doi=10.1080%2f15568318.2019.1610919&partnerID=40&md5=b152f2422b8a259c82378c99ea5d24a9,"Ports and harbors are facing stiff competition for market share and delivering more effective and secure flow of goods worldwide. High-performing ports are implementing smart technologies to better manage operations meeting new challenges in maintaining safe, secure, and energy efficient facilities that mitigate environmental impacts. In this context, a new concept has emerged which is called smart port. However, a unified definition of a smart port has not been well documented. This article attempts to develop a framework for a smart port and a quantitative metric, smart port index (SPI), that ports can use to improve their resiliency and sustainability. Our proposed SPI is based on key performance indicators (KPIs) gathered from the literature. These KPIs are organized around four key activity domains of a smart port: operations, environment, energy, and safety & security. Case studies are conducted to show how one can use SPI and to assess the performance of some of the busiest ports in the world. Our methodology provides a quantitative tool for port authorities to develop their smart port strategies, assess their smartness, and identify strengths and weaknesses of their current operations for continuous improvement. Our study reveals that smart port initiatives around the world have different levels of comprehensiveness. The results of this study also suggest that government policies and region-specific variables can impact SPI value. © 2019, © 2019 Taylor & Francis Group, LLC.",key performance indicators; maritime transportation; resilience; Smart port index; sustainability,Benchmarking; Competition; Energy efficiency; Environmental impact; Environmental technology; Sustainable development; Waterway transportation; Continuous improvements; Energy efficient facilities; Key performance indicators; Maritime transportation; Quantitative metric; Quantitative tool; resilience; Smart port index; competition (economics); governance approach; harbor; infrastructural development; maritime transportation; performance assessment; port development; port operation; quantitative analysis; transportation planning; transportation technology; Ports and harbors,,Article,Final,,Scopus,2-s2.0-85065782662
Molavi A.; Shi J.; Wu Y.; Lim G.J.,"Molavi, Anahita (57208783786); Shi, Jian (55491835900); Wu, Yiwei (57211514946); Lim, Gino J. (55801936400)",57208783786; 55491835900; 57211514946; 55801936400,Enabling smart ports through the integration of microgrids: A two-stage stochastic programming approach,2020,Applied Energy,63,10.1016/j.apenergy.2019.114022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074285060&doi=10.1016%2fj.apenergy.2019.114022&partnerID=40&md5=c3657b05ea714042aecdabab69a85753,"This paper explores microgrids’ application at ports and presents a systematic framework for evaluating the benefits of microgrid integration in creating sustainable value through purposeful planning. We focus on demonstrating how a set of Smart Port Index (SPI) metrics can be incorporated into the port microgrid planning process in the proposed framework to holistically improve the smartness of the port. A two-stage stochastic mixed-integer programming model is developed to explain how the use of microgrid at a port can effectively enhance the port's performance in four key activity domains: operations, environment, energy, safety and security under operation uncertainty. The proposed model consists of an investment master problem on the first stage and a multi-objective operation planning subproblem on the second stage. Benders decomposition is implemented for solving the two-stage stochastic model, and Lexicographic Goal Programming is applied to the subproblem to deal with multiple objectives. Simulation results, compared with the minimum cost planning approach, indicate that the proposed framework is capable of guaranteeing an improvement in productivity, sustainability, and reliability of port operations. © 2019 Elsevier Ltd",Maritime transportation; Microgrid; Ports; Renewable energy; Smart ports; Sustainability,Integer programming; Investments; Linear programming; Microgrids; Stochastic programming; Stochastic systems; Sustainable development; Waterway transportation; Maritime transportation; Micro grid; Ports; Renewable energies; Smart ports; alternative energy; cost analysis; decomposition; investment; maritime transportation; performance assessment; planning process; port; smart grid; stochasticity; sustainability; uncertainty analysis; Stochastic models,,Article,Final,,Scopus,2-s2.0-85074285060
Momber A.W.; Wilms M.; Brün D.,"Momber, A.W. (7007022480); Wilms, M. (58350605000); Brün, D. (57188868421)",7007022480; 58350605000; 57188868421,The use of meteorological and oceanographic sensor data in the German offshore territory for the corrosion monitoring of marine structures,2022,Ocean Engineering,7,10.1016/j.oceaneng.2022.110994,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131916783&doi=10.1016%2fj.oceaneng.2022.110994&partnerID=40&md5=f935dcd9b3e2e79957abc7d841980643,"The use of sensor data is a pre-requirement for the use of Digital Twins and for the integration of data-based maintenance strategies for corrosion protection systems of marine structures. The paper defines the requirements for sensor signals/data for the modeling of corrosion processes in marine environments. Data demands are reviewed, and respective sensor necessity matrices are derived. Meteorological data (for atmospheric corrosion) and oceanographic data (for immersed seawater corrosion), delivered by three environmental sensor networks in the German offshore territory (North Sea, Baltic Sea), are benchmarked and categorized for the first time. Examples for relevant environmental sensor data for the atmospheric as well as for immersed seawater corrosion are presented. Local (micro-environment) and incremental (temporal variations) corrosive loads are characterized based on sensor data. The treatment and 2-step management of sensor data are discussed. An approach for their integration into a data-based monitoring and maintenance model is introduced. Examples are provided for the utilization of sensor data for the monitoring of corrosion processes and for the design of cathodic protection systems. © 2022 Elsevier Ltd",Cathodic protection; Data management; Predictive maintenance; Sensors; Signal processing,Germany; Atmospheric corrosion; Cathodic protection; Data integration; Maintenance; Offshore oil well production; Offshore structures; Seawater corrosion; Sensor networks; Signal processing; Structural health monitoring; Corrosion process; Corrosion protection system; Corrosion-monitoring; Maintenance strategies; Meteorological sensors; Oceanographic sensors; Offshores; Predictive maintenance; Sensors data; Signal-processing; corrosion; data management; maintenance; meteorology; monitoring; oceanography; sensor; signal processing; Information management,"6th National Energy Research Program, (0324254A-E); BMWK; Federal Ministry for Economic Affairs and Climate Action; Federal Ministry of Economic Affairs and Energy; Bundesministerium für Wirtschaft und Energie, BMWi",Article,Final,,Scopus,2-s2.0-85131916783
Mombiela D.C.; Zadeh M.,"Mombiela, Dalia Casanova (57250338900); Zadeh, Mehdi (55943250200)",57250338900; 55943250200,Integrated design and control approach for marine power systems based on operational data; 'Digital twin to design',2021,"2021 IEEE Transportation Electrification Conference and Expo, ITEC 2021",3,10.1109/ITEC51675.2021.9490055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114458059&doi=10.1109%2fITEC51675.2021.9490055&partnerID=40&md5=4e09cbd0f914b59327f07e32888d2330,"This paper proposes an algorithm to design ship power systems in the preliminary design phase. As a case study, an embedded control is integrated into the preliminary design of the ship power system, at the level of Energy Management System (EMS). The embedded control developed for the algorithm aims for cost, availability, safety and emissions optimization from the top layer. At the power system level, a few alternatives are considered such as full electric propulsion and fuel-based energy producers. Different Key Performance Indicators (KPIs), Key Exception Indicators (KEIs) and Key Improvement Indicators (KIIs) for design are evaluated for cost optimization purposes. Power plant sizing results of an Offshore Supply Vessel based on batteries or Generating Sets (GENSETs) power contribution are extracted with the proposed pro-clean power plant design algorithm structure. The result of this first simplified simulation not just include a comparative evaluation between 7 different types of batteries for an all electric ship sizing but also a maximum and instantaneous Depth of Discharge (DoD) of the batteries among the OSV load profile register which could be used as a control bandwidth to consider at the EMS level. The presented algorithm structure is a preface for later hybrid systems power plant sizing generalization.  © 2021 IEEE.",,Availability; Battery management systems; Benchmarking; Digital integrated circuits; Digital twin; Electric batteries; Electric discharges; Electric power system control; Electric ship equipment; Energy management systems; Hybrid systems; Marine power plants; Offshore oil well production; Ship propulsion; Ships; All electric ships; Comparative evaluations; Depth of discharges; Integrated designs; Key performance indicators; Marine power systems; Preliminary design; Preliminary design phase; Offshore power plants,,Conference paper,Final,,Scopus,2-s2.0-85114458059
Morais D.; Goulanian G.; Danese N.,"Morais, D. (46761393300); Goulanian, G. (57211567394); Danese, N. (36543568900)",46761393300; 57211567394; 36543568900,The future reality of the digital twin as a cross-enterprise marine asset,2019,"RINA, Royal Institution of Naval Architects - 19th International Conference on Computer Applications in Shipbuilding, ICCAS 2019",5,127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074450049&partnerID=40&md5=278194265c9b12a0eb3450daaa7f9936,"This paper aims to define the Digital Twin in a general context, explore the current role of the Digital Twin within shipbuilding, and demonstrate the benefits of and path towards an integrated, cross-enterprise Digital Twin. Shipbuilding, as an industry with unique challenges and structures, requires a shipbuilding specific approach to technology implementation, integration, and utilization. This factor has been considered within this paper and is one of the main drivers behind the developments SSI has made to further the integration of platforms and improve the information available within a shipbuilder. © 2019: The Royal Institution of Naval Architects.",,Ships; Shipyards; Technology implementation; Shipbuilding,,Conference paper,Final,,Scopus,2-s2.0-85074450049
Moroz L.; Barannik V.; Burlaka M.,"Moroz, Leonid (56870933300); Barannik, Valentyn (57200938076); Burlaka, Maksym (56502359000)",56870933300; 57200938076; 56502359000,Application of digital twin for gas turbine off-design performance and operation analyses,2019,"AIAA Propulsion and Energy Forum and Exposition, 2019",5,10.2514/6.2019-3913,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095977401&doi=10.2514%2f6.2019-3913&partnerID=40&md5=f0f8b5a817b497ee7fc3463b781af226,"Gas turbine units for power production (GTUs) and engines for aircraft and marine propulsion (GTEs) often operate at off-design with significantly lower efficiency, ultimately causing financial losses. The off-design in small and mid-sized power generation and pumping gas turbine units is caused by the present grid demands, different ambient conditions, etc. In turn, aircraft and marine propulsion GTEs off-design are caused by variations in operation regime. Off-design/part load conditions influence not only the gas turbine efficiency but also its reliable operation, in particular, the hot gas path parts and compressor’s margin to surge. The development of a flexible, fast and high fidelity approach of GTU part-load and off-design performance prediction is of vital importance with the capability to analyze all the parameters of a compressor, turbine and cooling system. The objective of the presented study is to elaborate on such an approach. In this paper, the concept of digital twin to predict off-design GTU performance is utilized. Digital twin, or a specially organized collection of physics-based methods/modules, was created for the power generation unit-166MW GTU prototype. The GTU including its design, the overall scheme, and cooling system are described in details. The methods which comprise the digital twin are presented, including calculation methods and loss models with an indication of prediction accuracy. The flowchart of the process of off-design performance estimation and data transfer between the modules are given as well. The validation of the GTU digital twin, comparing the predicted power correction factor with the respective test data obtained for a variety of ambient temperature magnitudes is described. The comparison of the results obtained utilizing GTU digital twin with other approaches is provided. The GTU part-load performance estimation results sensitivity to an application of 0D and 1D cooling system simulation approaches in the digital twin is studied. GTU part-load performance prediction results obtained utilizing the developed digital twin are described and discussed in details. Some aspects of application of this approach to aircraft engine are considered as well. Conclusions are given for the developed digital twin for accuracy, applicability, and peculiarities. © 2019, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.",,Aircraft; Aircraft engines; Compressibility of gases; Cooling; Cooling systems; Data transfer; Design; Forecasting; Gas turbines; Gases; Losses; Ship propulsion; Thermoelectric equipment; Ambient conditions; Correction factors; Gas turbine efficiency; Off-design performance; Physics-based methods; Power generation units; Prediction accuracy; System simulations; Digital twin,,Conference paper,Final,,Scopus,2-s2.0-85095977401
Morra E.; Damiani L.; Revetria R.; Rozhok A.,"Morra, Emanuele (57195681882); Damiani, Lorenzo (36099941100); Revetria, Roberto (59157670000); Rozhok, Anastasiia (57208105492)",57195681882; 36099941100; 59157670000; 57208105492,A case study of a digital twin for designing intermodal railways operations for a maritime terminal,2019,"17th International Industrial Simulation Conference 2019, ISC 2019",3,128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072272890&partnerID=40&md5=825e1daf73cd93675dded9b7b10fd904,"The design of an intermodal transportation system, composed by road-rail-ship paths, usually passes through the capacity evaluation of the different stages, affected by means of transport features. Synchronicity of different stages and features of the utilities are a key factor in such infrastructure design. The simulation of a project, traditionally based on a static calculation of timetables for transportation connection guarantee, can be done actually with a Digital Twin approach for a whole dynamic simulation of the process. The paper deals with a real case study in which a full intermodal system for minerals transportation, located in a desert, has been fully simulated, with interesting results analysis the for project validation. The intermodal system in object includes a mine-to-terminal truck transportation, a terminal-to-seaport monorail train transportation and a highly automated system for bulk material conveying from seaport to ships. © 2019 EUROSIS-ETI.",Digital twin; Intermodal transportation system; Minerals transportation; Monorail; Road-rail-ship transport; Simulation modelling; Timetables generator software,Automation; Computer simulation; Computer software; Materials handling; Mine transportation; Monorails; Roads and streets; Scheduling; Ships; Truck drivers; Truck transportation; Automated systems; Bulk materials; Different stages; Digital twin; Infrastructure design; Intermodal system; Monorail trains; Road rails; Intermodal transportation,,Conference paper,Final,,Scopus,2-s2.0-85072272890
"Morrall, A; Rainbird, J; Katsoulakas, T; Koliousis, I; Varelas, T","Morrall, A.; Rainbird, J.; Katsoulakas, T.; Koliousis, I.; Varelas, T.",,e-Maritime for automating legacy shipping practices,,TRANSPORT RESEARCH ARENA TRA2016,4,10.1016/j.trpro.2016.05.050,View Full Record in Web of Science,"The European Commission has been actively promoting the competitiveness of the European maritime transport sector and a more efficient use of resources through the better use of Information and Communicating Technologies (ICT), with a core vision to enable seamless communication in the sector. This paper describes how the FP7 eMAR project successfully developed, tested and assessed tools to further streamline maritime operations. These tools included an an eMAR Ecosystem, the Inlecom i-Ship Intelligent Ship Reporting Gateway, and two specific interoperable platforms: the DANAOS Collaboration Platform and the InleMar Ecosystem. These applications will help transmit information to all relevant stakeholders (authorities, agents, ship masters, of/onshore shipping company facilities) in an automated and smart manner. The transmitted information, which includes legally required information such as the IMO FAL Forms, as well as business related information, such as Estimated Time of Arrival or Port of next call or availability, will significantly improve not only the shipping related operations but also the entire upstream and downstream supply chain operations. (C) 2016 The Authors. Published by Elsevier B.V.",e-Maritime; seamless communication; maritime operations; interoperable platforms; intelligent ship reporting formalities,,,Conference paper,,,,
"Moussas, V; Pantazis, DN; Stratakis, P","Moussas, V.; Pantazis, D. N.; Stratakis, P.",,THE CO.TRIS SYSTEM: TOWARDS A SMARTER COASTAL TRANSPORT NETWORK FOR SMART ISLANDS,,3RD INTERNATIONAL CONFERENCE ON SMART DATA AND SMART CITIES,19,10.5194/isprs-annals-IV-4-W7-91-2018,View Full Record in Web of Science,"The Coastal Transport Information System (Co.Tr.I.S) is a multifunction information system that is developed for the effective design of coastal transportation lines. The system incorporates several subsystems which include the models, tools, and techniques that support the design of improved coastal networks. Co.Tr.I.S main aim is to support any decision making process of the involved players (Ministry, Maritime companies, Local Authorities, Travel Agencies, Passengers, etc) regarding the improvement & the optimal use of a coastal transport network. Co.Tr.I.S data retrieval, analysis, visualization, network design & decision support can accelerate the very slow (currently annual in Aegean) rate of coastal transport network update/upgrade procedures, and, create smarter network implementations that may adapt online on the various demand or requirement changes or updates. Connections, transportation, mobility, as well as port automation are some of the key factors for the smartification of entire islands especially in an archipelago like the Aegean Sea. In this work, we present the network design optimization functionality of Co.Tr.I.S, the various optimization stages, the Genetic Algorithm (GA) implementations and its potential to propose a better network design based on each user preferences. A sample case study is given to show its smartness & adaptability to each user needs and, finally, a discussion follows on how it could be complemented by emerging smart technologies for smarter islands.",Co.Tr.I.S; Coastal Network; Transportation; Optimization; ICT; Mobility; Smart Cities; Smart Islands,,,Conference paper,,,,
Mouzakitis S.; Kontzinos C.; Kapsalis P.; Kanellou I.; Kormpakis G.; Tsapelas G.; Askounis D.,"Mouzakitis, Spiros (24832116700); Kontzinos, Christos (57208595884); Kapsalis, Panagiotis (57462485500); Kanellou, Ioanna (57896052100); Kormpakis, Giorgos (57462502800); Tsapelas, Giannis (57202308721); Askounis, Dimitris (6603428475)",24832116700; 57208595884; 57462485500; 57896052100; 57462502800; 57202308721; 6603428475,Optimising Maritime Processes Via Artificial Intelligence: The VesselAI Concept And Use Cases,2022,"13th International Conference on Information, Intelligence, Systems and Applications, IISA 2022",3,10.1109/IISA56318.2022.9904345,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141041388&doi=10.1109%2fIISA56318.2022.9904345&partnerID=40&md5=ca2287dfe079e35a2ba3c23d1a8fb415,"The beginning of this decade finds artificial intelligence, high performance computing (HPC), and big data analytics in the forefront of digital transformation that is projected to heavily impact various industries and domains. Specifically, the maritime industry, which is already a relatively advanced area concerned to others could stand to gain great benefits from the combination and application of innovative technologies in its practices. This fact, combined with the amount of data generated from naval vessels and sensors points to the direction of AI and big data, two technologies that have the ability to absorb large amounts of data, process them and provide automated and optimised solutions for all maritime stakeholders. Integrating these technologies and tools in a unified system poses various challenges. Under this context, the current publication presents the concept and pilot use cases of VesselAI, an EU-funded project that aims to develop, validate and demonstrate a novel holistic framework based on a combination of the state-of-the-art HPC, Big Data and AI technologies, capable of performing extreme-scale and distributed analytics for fuelling the next-generation digital twins in maritime applications and beyond, including vessel motion and behaviour modelling, analysis and prediction, ship energy system design and optimisation, unmanned vessels, route optimisation and fleet intelligence. The present publication compliments the presentation of the VesselAI project with comprehensive bibliographic research of similar approaches and initiatives that validate the VesselAI concept and prove that there is an unprecedented interest from the research community in applying AI solutions in the maritime industry.  © 2022 IEEE.",Artificial Intelligence; Maritime; Naval Vessels; Process Optimisation,Artificial intelligence; Big data; Data Analytics; Fleet operations; Metadata; Naval vessels; Automated solutions; Data analytics; Digital transformation; Innovative technology; Large amounts of data; Maritime; Maritime industry; Optimized solutions; Performance computing; Process optimisation; Optimization,"Horizon 2020 Framework Programme, H2020, (822404)",Conference paper,Final,,Scopus,2-s2.0-85141041388
